,총인구수,세대수,남자 인구수,여자 인구수,남여 비율
제주특별자치도  (5000000000),678159,311355,339590,338569,1.00
제주특별자치도 제주시 (5011000000),493389,222599,246504,246885,1.00
제주특별자치도 서귀포시 (5013000000),184770,88756,93086,91684,1.02
