,총인구수,세대수,남자 인구수,여자 인구수,남여 비율
제주특별자치도  (5000000000),667191,287104,335719,331472,1.01
제주특별자치도 제주시 (5011000000),485946,204621,243974,241972,1.01
제주특별자치도 서귀포시 (5013000000),181245,82483,91745,89500,1.03
