,총인구수,세대수,남자 인구수,여자 인구수,남여 비율
제주특별자치도  (5000000000),607346,246516,304656,302690,1.01
제주특별자치도 제주시 (5011000000),448834,179090,224581,224253,1.00
제주특별자치도 서귀포시 (5013000000),158512,67426,80075,78437,1.02
